buy_value,sell_value,quantity,buy_wallet,sell_wallet,date_open,date_close,,,,,,,date_open,date_close
13399.71,13399.71,0.00007463,0.0000001,1.00002046,1/11/18 10:00 PM,1/11/18 10:00 PM,,,,,,,1.51573E+12,1.51573E+12
13783.32,13783.32,0.00007255,0.0000001,0.99997997,1/14/18 2:00 AM,1/14/18 2:00 AM,,,,,,,1.51591E+12,1.51591E+12
13590,13590,0.00007358,0.0000001,0.9999523,1/14/18 3:00 AM,1/14/18 3:00 AM,,,,,,,1.51592E+12,1.51592E+12
13280.15,13280.15,0.0000753,0.0000001,0.99999539,1/14/18 7:00 AM,1/14/18 7:00 AM,,,,,,,1.51593E+12,1.51593E+12
13398.01,13398.01,0.00007464,0.0000001,1.00002757,1/14/18 9:00 AM,1/14/18 9:00 AM,,,,,,,1.51594E+12,1.51594E+12
13301.99,13301.99,0.00007518,0.0000001,1.00004371,1/14/18 10:00 AM,1/14/18 10:00 AM,,,,,,,1.51594E+12,1.51594E+12
13270.75,13270.75,0.00007535,0.0000001,0.99995111,1/14/18 1:00 PM,1/14/18 1:00 PM,,,,,,,1.51595E+12,1.51595E+12
13173.02,13173.02,0.00007591,0.0000001,0.99996405,1/15/18 10:00 PM,1/15/18 10:00 PM,,,,,,,1.51607E+12,1.51607E+12
12828.99,12828.99,0.00007795,0.0000001,1.00001987,1/15/18 11:00 PM,1/15/18 11:00 PM,,,,,,,1.51608E+12,1.51608E+12
10900.01,10900.01,0.00009174,0.0000001,0.99996702,1/16/18 5:00 AM,1/16/18 5:00 AM,,,,,,,1.5161E+12,1.5161E+12
11669.98,11669.98,0.00008569,0.0000001,1.00000069,1/16/18 6:00 AM,1/16/18 6:00 AM,,,,,,,1.5161E+12,1.5161E+12
12127.16,12127.16,0.00008246,0.0000001,1.00000571,1/16/18 7:00 AM,1/16/18 7:00 AM,,,,,,,1.5161E+12,1.5161E+12
10650.18,10650.18,0.0000939,0.0000001,1.000052,1/16/18 4:00 PM,1/16/18 4:00 PM,,,,,,,1.51614E+12,1.51614E+12
10674.38,10674.38,0.00009368,0.0000001,0.99997602,1/16/18 6:00 PM,1/16/18 6:00 PM,,,,,,,1.51614E+12,1.51614E+12
